L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
37.9482,30.1936,53.2688,0.467141,1.28318,1.22744,84.5074,0.00107903,6.91058,7.00138,34.697,0.440307,0.549414,0.548118,8.46362,0.000241519,2.11891,1.51317,19.2881,3.75992
37.9528,30.1982,53.2687,0.403527,1.28869,1.23283,84.5396,0.000947803,6.91518,7.00605,34.6968,0.376693,0.554922,0.553505,8.49583,0.000309495,2.11787,1.51384,19.2014,3.7641
37.9575,30.2029,53.2679,0.467972,1.28982,1.23422,84.5243,0.00109633,6.91987,7.0107,34.6961,0.441138,0.55605,0.554901,8.48052,0.000384439,2.11817,1.51294,19.2269,3.7585
37.9571,30.2025,53.2676,0.44397,1.29026,1.23471,84.5321,0.00143102,6.91947,7.01029,34.6958,0.417136,0.556491,0.555394,8.48826,0.000649042,2.11795,1.51325,19.209,3.76043
37.9544,30.1998,53.2669,0.443359,1.2856,1.23038,84.4603,0.0019465,6.91675,7.00759,34.6951,0.416525,0.551833,0.55106,8.41647,0.000659583,2.11991,1.51333,19.3719,3.76094
37.9599,30.205,53.2669,0.479481,1.29369,1.2385,84.4214,0.00131494,6.92227,7.01275,34.6951,0.452647,0.559919,0.559178,8.37758,0.000423675,2.12048,1.51275,19.4187,3.75736
37.9597,30.2051,53.2663,0.391995,1.28861,1.23368,84.4323,0.00172742,6.92203,7.01287,34.6945,0.365161,0.554842,0.554362,8.38848,0.000526386,2.12044,1.51385,19.4164,3.76412
37.9615,30.2068,53.267,0.470554,1.2908,1.23556,84.4717,0.00134514,6.92383,7.0146,34.6951,0.44372,0.557038,0.55624,8.42785,0.000338444,2.11939,1.51282,19.3284,3.75777
37.9584,30.2037,53.2668,0.482299,1.2874,1.23215,84.4855,0.0013698,6.92071,7.01148,34.695,0.455465,0.553635,0.552825,8.44166,0.000648449,2.11922,1.51275,19.3136,3.75736
37.9573,30.2026,53.2682,0.449913,1.2939,1.23805,84.5793,0.00178243,6.91961,7.01044,34.6964,0.423079,0.560138,0.558734,8.53545,0.000755591,2.11663,1.51316,19.101,3.7599
37.9606,30.206,53.2664,0.52357,1.28941,1.23447,84.4181,0.0015501,6.923,7.01376,34.6946,0.496736,0.555645,0.55515,8.37425,0.000773274,2.12075,1.51219,19.4418,3.75389
37.9598,30.2046,53.267,0.460797,1.29278,1.23742,84.4734,0.00153075,6.92211,7.01244,34.6952,0.433963,0.559015,0.558098,8.4296,0.00047121,2.11925,1.51299,19.3168,3.75881
37.9575,30.2028,53.2667,0.509801,1.28967,1.23446,84.4596,0.00201854,6.91986,7.01055,34.6949,0.482967,0.5559,0.55514,8.41575,0.000788144,2.11972,1.51243,19.3566,3.75541
37.961,30.2062,53.2671,0.429657,1.29095,1.23564,84.4561,0.00276429,6.92331,7.01395,34.6953,0.402823,0.55718,0.556322,8.41228,0.000696769,2.11973,1.51334,19.3588,3.76099
37.9595,30.2048,53.2669,0.452776,1.29057,1.23532,84.4682,0.00217382,6.92183,7.01255,34.6951,0.425942,0.556805,0.555997,8.42434,0.00101649,2.11947,1.51309,19.3351,3.75945
37.9578,30.2031,53.2664,0.468039,1.29263,1.23769,84.4284,0.00243297,6.92015,7.01092,34.6946,0.441205,0.558865,0.558364,8.38458,0.00126673,2.12032,1.51295,19.4065,3.75858
37.9592,30.2046,53.2669,0.471582,1.29285,1.2377,84.4508,0.00194542,6.92156,7.01237,34.695,0.444748,0.559087,0.558379,8.407,0.000547407,2.11978,1.51286,19.3618,3.75805
37.9589,30.2043,53.2668,0.427618,1.2914,1.23631,84.4476,0.00150115,6.92129,7.01207,34.6949,0.400784,0.557633,0.556993,8.40379,0.00045588,2.11994,1.51342,19.3743,3.76147
37.963,30.2082,53.2664,0.442791,1.29197,1.23695,84.4163,0.00153554,6.9254,7.01599,34.6946,0.415957,0.558205,0.557627,8.37251,0.000365612,2.12067,1.51313,19.4359,3.75972
37.9608,30.2062,53.2675,0.420345,1.29289,1.23748,84.5185,0.00162153,6.9232,7.01395,34.6956,0.393511,0.559125,0.558164,8.47473,0.000613939,2.11815,1.51345,19.2253,3.76168
37.9587,30.2041,53.2671,0.474539,1.29221,1.23692,84.482,0.00245724,6.92108,7.01187,34.6953,0.447705,0.55844,0.557596,8.43818,0.000662053,2.11905,1.51284,19.3013,3.75788
37.9588,30.2041,53.2676,0.444621,1.29236,1.23675,84.5235,0.00176372,6.92117,7.01192,34.6958,0.417787,0.558593,0.557429,8.47969,0.000613946,2.11805,1.5132,19.2179,3.76012
37.9605,30.2059,53.2669,0.486755,1.29389,1.23868,84.4731,0.00278623,6.92289,7.01371,34.695,0.459921,0.560123,0.559362,8.4293,0.00138297,2.11917,1.51264,19.3108,3.75668
37.9627,30.2077,53.2662,0.470534,1.29414,1.23919,84.4213,0.00230327,6.92504,7.01551,34.6943,0.4437,0.560378,0.559869,8.37746,0.00092332,2.12043,1.5128,19.4156,3.75767
37.9567,30.2019,53.2674,0.546946,1.29277,1.23736,84.5069,0.00283609,6.91904,7.00972,34.6956,0.520112,0.559004,0.558035,8.46306,0.00144856,2.11841,1.51199,19.2476,3.75264
