Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96136,0,1.81752,0.00102654,0.0727675,0,0.111504,6.78409e-06,0.115909,0,1.23285,0.0010195,0.0183216,0,0.0876581,6.6946e-06,, , 0.0678063,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134888,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.6946e-06,0.0585562
2,15.1251,15.1826,11.3421,0.0110281,0.500916,0.504671,3.47522,0.00210578,3.68439,3.7419,9.61555,0.0107146,0.175091,0.178845,2.60678,0.00013115,, , 0.533673,6.59864,0.293982,15.1163,9.97854,9.61555,0.0107146,0.0155217,0.205834,0.129148,0.0189544,0.00853657,0.640836,2.60678,0.00013115,0.920125
3,4.20543,4.23053,7.27558,0.0220507,0.174073,0.175529,2.86638,4.97094e-05,0.891243,0.916348,6.41741,0.0214237,0.0704305,0.0718865,1.13685,4.36697e-06,, , 0.229787,1.44982,0.127988,5.23262,3.22804,6.41741,0.0214237,0.0293457,0.0922539,0.0417726,0.00829045,0.00755516,0.204585,1.13685,4.36697e-06,1.73961
4,6.18313,6.2398,7.76642,0.0415658,0.280386,0.284372,5.58612,0.000838533,1.10914,1.16581,6.41561,0.0403117,0.137876,0.141862,2.12811,0.000202246,, , 0.477213,1.54823,0.249511,8.74862,4.6985,6.41561,0.0403117,0.0584488,0.187221,0.0761984,0.0163183,0.0118465,0.284231,2.12811,0.000202246,3.46485
5,1.53146,1.55232,7.03737,0.0776872,0.0880837,0.0894828,7.67425,0.000351975,0.27576,0.296617,5.50155,0.0751788,0.0485278,0.0499268,0.76041,0.00014644,, , 0.173619,0.307138,0.0916197,6.2831,1.66101,5.50155,0.0751788,0.116473,0.0684258,0.024022,0.00600683,0.017688,0.0855392,0.76041,0.00014644,6.90454
6,2.44845,2.49248,8.4393,0.16531,0.151344,0.154566,15.2949,0.000832021,0.451719,0.495747,5.50193,0.160293,0.0973354,0.100557,1.46754,0.000713832,, , 0.356948,0.409594,0.180924,11.9572,2.76803,5.50193,0.160293,0.232886,0.139203,0.0467762,0.011913,0.0313899,0.125166,1.46754,0.000713832,13.8055
7,0.47013,0.471272,9.57546,0.231597,0.0298099,0.0301515,49.3609,0.000242455,0.385892,0.387034,0.0129628,0.214511,0.0164842,0.0168258,0.198185,2.52306e-05,, , 0.0101428,0.757676,0.00510665,12.0326,0.287717,0.0129628,0.214511,0.827824,0.0138034,0.0183357,0.00117089,0.107445,0.0520212,0.198185,2.52306e-05,49.0734
8,0.028621,0.0287575,0.0180568,0.000638394,0.000539317,0.000545357,0.0602466,3.37682e-07,0.001985,0.0021215,0.00208589,0.000617539,8.7464e-05,9.35041e-05,0.000227485,7.25156e-08,, , 0.00127279,0.00218914,0.000644581,0.0803593,0.0212412,0.00208589,0.000617539,0.00101147,7.37425e-05,8.89254e-05,1.83001e-05,0.000321226,0.00074128,0.000227485,7.25156e-08,0.0599602
Total,37.9537,30.1978,53.2718,0.550904,1.29792,1.23932,84.4296,0.0044276,6.91604,7.00558,34.6999,0.52407,0.564154,0.559996,8.38576,0.00123003,, , 1.85046,11.0806,0.990543,66.3248,24.21,34.6999,0.52407,1.2825,0.720304,0.339823,0.0640234,0.186405,1.4432,8.38576,0.00123003,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.12008,0.00819846,1.51197,19.39,0.0203477,3.75255
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96138,0,1.81752,0.00102654,0.0727723,0,0.111504,6.78875e-06,0.115932,0,1.23285,0.0010195,0.0183264,0,0.0876581,6.69926e-06,, , 0.0678295,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.0010195,0.000987789,0.0134937,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.69926e-06,0.0585562
2,15.1256,15.1831,11.342,0.0106907,0.501089,0.504884,3.47522,0.00159407,3.6849,3.74241,9.61547,0.0103772,0.175263,0.179058,2.60677,9.91676e-05,, , 0.534694,6.59864,0.293982,15.1163,9.97854,9.61547,0.0103772,0.0155217,0.206227,0.129148,0.018946,0.00853657,0.640836,2.60677,9.91676e-05,0.920125
3,4.20589,4.23099,7.27591,0.0220318,0.174114,0.175488,2.87845,0.00093944,0.891703,0.916808,6.41774,0.0214048,0.0704719,0.0718453,1.14892,0.000115583,, , 0.230706,1.44982,0.127988,5.23262,3.22804,6.41774,0.0214048,0.0293457,0.0922371,0.0417726,0.00830752,0.00755516,0.204585,1.14892,0.000115583,1.73961
4,6.18332,6.24,7.76611,0.0409187,0.28032,0.284462,5.53783,0.000673123,1.10933,1.166,6.41529,0.0396646,0.137809,0.141952,2.07982,0.000160894,, , 0.477597,1.54823,0.249511,8.74862,4.6985,6.41529,0.0396646,0.0584488,0.187277,0.0761984,0.0162858,0.0118465,0.284231,2.07982,0.000160894,3.46485
5,1.53202,1.55287,7.03724,0.078156,0.0881957,0.089627,7.66537,0.000442658,0.276313,0.297169,5.50142,0.0756477,0.0486397,0.050071,0.751537,0.000191782,, , 0.174725,0.307138,0.0916197,6.2831,1.66101,5.50142,0.0756477,0.116473,0.0686886,0.024022,0.00600016,0.017688,0.0855392,0.751537,0.000191782,6.90454
6,2.44789,2.49192,8.43926,0.170408,0.151481,0.154725,15.2949,0.00139727,0.45116,0.495188,5.50189,0.165391,0.0974718,0.100716,1.46754,0.00127908,, , 0.35583,0.409594,0.180924,11.9572,2.76803,5.50189,0.165391,0.232886,0.139503,0.0467762,0.0119083,0.0313899,0.125166,1.46754,0.00127908,13.8055
7,0.470099,0.471241,9.57548,0.361847,0.029801,0.0301366,49.3609,0.000278594,0.385861,0.387003,0.0129871,0.344761,0.0164753,0.0168109,0.198186,6.13693e-05,, , 0.0100809,0.757676,0.00510665,12.0326,0.287717,0.0129871,0.344761,0.827824,0.0137784,0.0183357,0.00117214,0.107445,0.0520212,0.198186,6.13693e-05,49.0734
8,0.0286151,0.0287516,0.0180529,0.000830814,0.000539288,0.000545343,0.0602466,3.61218e-07,0.0019791,0.00211561,0.00208205,0.000809959,8.74348e-05,9.34896e-05,0.000227484,9.60518e-08,, , 0.001261,0.00218914,0.000644581,0.0803593,0.0212412,0.00208205,0.000809959,0.00101147,7.37019e-05,8.89254e-05,1.82971e-05,0.000321226,0.00074128,0.000227484,9.60518e-08,0.0599602
